model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,n_train_rows,well_powered
hybrid_gbm_s1,__pooled__,16,1.1441015895668163,1862,0.22640710757559765,0.7157129777290292,0.06434658732205067,True,4366,True
ipb98y2_analytic,__pooled__,17,1.1294592332437212,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False,6128,True
mean_baseline,__pooled__,17,1.1294592332437212,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True,6128,True
ridge_loglinear,__pooled__,17,1.1294592332437212,100,0.2853670935561867,0.28034666537844655,0.056359094054382934,True,6128,True
random_forest,__pooled__,17,1.1294592332437212,100,0.29120318766011555,0.2506101484711377,0.05281258298844948,True,6128,True
hist_gradient_boosting,__pooled__,17,1.1294592332437212,100,0.30701737969020504,0.16700675486590866,0.048244626300737135,True,6128,True
powerlaw_free,__pooled__,17,1.1294592332437212,100,0.2854367449869338,0.27999532142403805,0.056381303688779374,True,6128,True
powerlaw_kadomtsev,__pooled__,17,1.1294592332437212,100,0.28397095546858975,0.2873711447585908,0.05602452823570214,True,6128,True
powerlaw_collisionless,__pooled__,17,1.1294592332437212,100,0.26841848271453983,0.363291874433738,0.051868347205692354,True,6128,True
powerlaw_electrostatic,__pooled__,17,1.1294592332437212,100,0.20552280715606208,0.6267192410901352,0.03144493195928752,True,6128,True
hybrid_gbm_s1,__pooled__,17,1.1294592332437212,100,0.2724290813218435,0.34412286660498426,0.05238053161770723,True,6128,True
