degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
3,100.0,ASDEX,431,0.470579980393875,5.187342932450245
3,100.0,D3D,388,0.21293747080206074,1.1410663145491857
3,100.0,NSTX,185,0.403590382393484,7.8308993076380045
3,100.0,JT60U,100,0.3141273021653845,2.483394451114324
3,100.0,PDX,97,0.4103354082423384,4.045943810544166
3,100.0,JFT2M,69,0.2061281219045139,5.434784443628557
3,100.0,PBXM,59,0.3679025003298071,10.18020691511417
3,100.0,CMOD,45,1.823599713666211,6.937744525296737
3,100.0,MAST,39,0.2224129493629333,5.375921749336576
3,1000.0,JET,1762,0.32967439261943954,2.189768389167002
3,1000.0,AUG,1377,0.20244029559263746,1.2399939601552896
3,1000.0,JETILW,866,0.17747251534411385,1.7024302608804454
3,1000.0,AUGW,767,0.19387097801971112,1.6457652294950753
3,1000.0,ASDEX,431,0.3614808975463568,5.187342932450245
3,1000.0,D3D,388,0.21394674770344266,1.1410663145491857
3,1000.0,NSTX,185,0.20150392015084953,7.8308993076380045
3,1000.0,JT60U,100,0.3354636275256154,2.483394451114324
3,1000.0,PDX,97,0.44534987821303207,4.045943810544166
3,1000.0,JFT2M,69,0.3032512428667097,5.434784443628557
3,1000.0,PBXM,59,0.5442865435947002,10.18020691511417
3,1000.0,CMOD,45,0.8635215992820596,6.937744525296737
3,1000.0,MAST,39,0.30016209391970217,5.375921749336576
3,10000.0,JET,1762,0.4612611871584235,2.189768389167002
3,10000.0,AUG,1377,0.23457260979549435,1.2399939601552896
3,10000.0,JETILW,866,0.25300074950928264,1.7024302608804454
3,10000.0,AUGW,767,0.23780243426314393,1.6457652294950753
3,10000.0,ASDEX,431,0.19322103603670063,5.187342932450245
3,10000.0,D3D,388,0.24702572838878636,1.1410663145491857
3,10000.0,NSTX,185,0.5500069104556374,7.8308993076380045
3,10000.0,JT60U,100,0.26025941251395,2.483394451114324
3,10000.0,PDX,97,0.46647843995868526,4.045943810544166
3,10000.0,JFT2M,69,0.321960755020236,5.434784443628557
3,10000.0,PBXM,59,0.5813673778093585,10.18020691511417
3,10000.0,CMOD,45,0.8497348668921835,6.937744525296737
3,10000.0,MAST,39,0.40076817177510077,5.375921749336576
3,100000.0,JET,1762,0.7801208986290314,2.189768389167002
3,100000.0,AUG,1377,0.30161129479930626,1.2399939601552896
3,100000.0,JETILW,866,0.36151090080073583,1.7024302608804454
3,100000.0,AUGW,767,0.4114299911130808,1.6457652294950753
3,100000.0,ASDEX,431,0.5937193741998092,5.187342932450245
3,100000.0,D3D,388,0.3417148227402482,1.1410663145491857
3,100000.0,NSTX,185,0.9372413118229332,7.8308993076380045
3,100000.0,JT60U,100,0.20444749372644902,2.483394451114324
3,100000.0,PDX,97,0.6290638326893457,4.045943810544166
3,100000.0,JFT2M,69,0.5142607218903722,5.434784443628557
3,100000.0,PBXM,59,0.3641192169916451,10.18020691511417
3,100000.0,CMOD,45,0.7621474595488817,6.937744525296737
3,100000.0,MAST,39,0.6083536266260995,5.375921749336576
4,0.001,JET,1762,0.962597116336354,2.189768389167002
4,0.001,AUG,1377,0.3424073450525092,1.2399939601552896
4,0.001,JETILW,866,0.21306077225306913,1.7024302608804454
4,0.001,AUGW,767,0.19410505447239704,1.6457652294950753
4,0.001,ASDEX,431,1.25974051890753,5.187342932450245
4,0.001,D3D,388,0.4156283282624635,1.1410663145491857
4,0.001,NSTX,185,4.508613072899315,7.8308993076380045
4,0.001,JT60U,100,0.8448202653363241,2.483394451114324
4,0.001,PDX,97,0.6269969070570349,4.045943810544166
4,0.001,JFT2M,69,1.1862050726703577,5.434784443628557
4,0.001,PBXM,59,8.475961783298038,10.18020691511417
4,0.001,CMOD,45,5.408897454195322,6.937744525296737
4,0.001,MAST,39,0.5152081945226371,5.375921749336576
4,0.01,JET,1762,0.8141205991595906,2.189768389167002
4,0.01,AUG,1377,0.2728658666195771,1.2399939601552896
4,0.01,JETILW,866,0.20406925875944884,1.7024302608804454
