model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
mean_baseline,grouped_cv,START,8,0.9,0.0,1.3878787702168522,4.006342659744886,3.7507976020512213,True,
mean_baseline,grouped_cv,TCV,11,0.9,0.2727272727272727,1.3525813264998803,3.867395667994361,1.4984085757821062,True,
mean_baseline,grouped_cv,TDEV,7,0.9,0.0,1.3878787702168522,4.006342659744886,1.9428887663515393,True,
mean_baseline,grouped_cv,TFTR,2,0.9,1.0,1.4002187555457701,4.056087161362451,0.17224170814976952,True,
ridge_loglinear,grouped_cv,ASDEX,431,0.9,0.9396751740139211,0.2895193115676906,1.3357852371650043,0.16156756095694827,True,5.187342932450245
ridge_loglinear,grouped_cv,AUG,1377,0.9,0.8583877995642701,0.2895193115676906,1.3357852371650043,0.19317221581829902,True,1.2399939601552896
ridge_loglinear,grouped_cv,AUGW,767,0.9,0.9322033898305084,0.2895193115676906,1.3357852371650043,0.16274357099355502,True,1.6457652294950753
ridge_loglinear,grouped_cv,CMOD,45,0.9,0.9777777777777777,0.2895193115676906,1.3357852371650043,0.14804496377107798,True,6.937744525296737
ridge_loglinear,grouped_cv,COMPASS,15,0.9,0.13333333333333333,0.2895193115676906,1.3357852371650043,0.4468038961490557,True,
ridge_loglinear,grouped_cv,D3D,388,0.9,0.7242268041237113,0.2895193115676906,1.3357852371650043,0.24196847259770451,True,1.1410663145491857
ridge_loglinear,grouped_cv,JET,1762,0.9,0.963677639046538,0.2895193115676906,1.3357852371650043,0.1488217666728352,True,2.189768389167002
ridge_loglinear,grouped_cv,JETILW,866,0.9,0.9364896073903002,0.2895193115676906,1.3357852371650043,0.1674332894408884,True,1.7024302608804454
ridge_loglinear,grouped_cv,JFT2M,69,0.9,1.0,0.2895193115676906,1.3357852371650043,0.09209977669540162,True,5.434784443628557
ridge_loglinear,grouped_cv,JT60U,100,0.9,0.7,0.2887422037527735,1.3347475912517457,0.27310931761484375,True,2.483394451114324
ridge_loglinear,grouped_cv,MAST,39,0.9,0.9487179487179487,0.2895193115676906,1.3357852371650043,0.14569319301994374,True,5.375921749336576
ridge_loglinear,grouped_cv,NSTX,185,0.9,0.8378378378378378,0.2895193115676906,1.3357852371650043,0.23871761470971886,True,7.8308993076380045
ridge_loglinear,grouped_cv,PBXM,59,0.9,0.8813559322033898,0.2895193115676906,1.3357852371650043,0.19104591086056424,True,10.18020691511417
ridge_loglinear,grouped_cv,PDX,97,0.9,0.845360824742268,0.2895193115676906,1.3357852371650043,0.21340755444702034,True,4.045943810544166
ridge_loglinear,grouped_cv,START,8,0.9,0.0,0.2887422037527735,1.3347475912517457,0.3838340921115107,True,
ridge_loglinear,grouped_cv,TCV,11,0.9,0.18181818181818182,0.2895193115676906,1.3357852371650043,0.6353928751650495,True,
ridge_loglinear,grouped_cv,TDEV,7,0.9,1.0,0.28796509593785635,1.3337107513880013,0.08915026893084224,True,
ridge_loglinear,grouped_cv,TFTR,2,0.9,0.0,0.29105827459801115,1.337842543914919,0.35300345588599663,True,
random_forest,grouped_cv,ASDEX,431,0.9,0.9187935034802784,0.21566423032835358,1.240685724416296,0.13531761939813883,True,5.187342932450245
random_forest,grouped_cv,AUG,1377,0.9,0.8961510530137982,0.21566423032835358,1.240685724416296,0.1464527044188811,True,1.2399939601552896
random_forest,grouped_cv,AUGW,767,0.9,0.9217731421121251,0.21566423032835358,1.240685724416296,0.11263649362898658,True,1.6457652294950753
random_forest,grouped_cv,CMOD,45,0.9,0.8888888888888888,0.21566423032835358,1.240685724416296,0.13305800596380443,True,6.937744525296737
random_forest,grouped_cv,COMPASS,15,0.9,0.7333333333333333,0.21566423032835358,1.240685724416296,0.20364440299375308,True,
random_forest,grouped_cv,D3D,388,0.9,0.8634020618556701,0.21566423032835358,1.240685724416296,0.16786398347388584,True,1.1410663145491857
random_forest,grouped_cv,JET,1762,0.9,0.9120317820658342,0.21566423032835358,1.240685724416296,0.1284854839913084,True,2.189768389167002
random_forest,grouped_cv,JETILW,866,0.9,0.9572748267898383,0.21566423032835358,1.240685724416296,0.09971855707990178,True,1.7024302608804454
