model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,method,arm
ridge_loglinear,leave_one_tokamak_out,PBXM,59,0.9,0.6101694915254238,0.2590727200120291,1.2957280267597893,0.27410976868517906,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.30388902683568786,1.3551186659388128,0.17281698025423575,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,MAST,39,0.9,0.9487179487179487,0.34551627210505936,1.4127190788818942,0.15362321385492766,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,JET,1762,0.9,0.713961407491487,0.45439194930231014,1.575215281025574,0.47798512070328486,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,AUG,1377,0.9,0.9636891793754538,0.5574237265291832,1.7461680939601534,0.27930960871770744,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,JETILW,866,0.9,0.9699769053117783,0.5112190025739577,1.6673224269859284,0.31834579995994233,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,AUGW,767,0.9,0.9986962190352021,0.5287863346934366,1.6968716241609438,0.21949249274400942,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,ASDEX,431,0.9,0.9280742459396751,0.7390500139166127,2.093945350387693,0.5067383872546776,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,D3D,388,0.9,0.7164948453608248,0.4724796367069016,1.6039665204785822,0.4059948133516858,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,NSTX,185,0.9,0.9567567567567568,1.2769464413617762,3.585673926143098,0.857376361499742,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,JT60U,100,0.9,0.98,0.5328988551085563,1.7038644124938847,0.29120318766011555,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,PDX,97,0.9,0.9278350515463918,0.7071797672358336,2.0282630111494595,0.40722559027110555,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.9781066817576852,2.6594163508850714,0.4502539255431945,True,machine_cv_distance,lomo
random_forest,leave_one_tokamak_out,PBXM,59,0.9,1.0,2.9816318400773034,19.719970240625948,0.7273766020265496,True,machine_cv_distance,lomo
